ts,cpu,ram,net_in_bps,net_out_bps,disk_read_bps,disk_write_bps,gpu_util,gpu_mem_used_mb,gpu_power_w,gpu_temp_c,gpu_clock_mhz,p1_cpu,p1_rss_mb,p1_threads,p1_age_s,p2_cpu,p2_rss_mb,p2_threads,p2_age_s,p3_cpu,p3_rss_mb,p3_threads,p3_age_s,p4_cpu,p4_rss_mb,p4_threads,p4_age_s,p5_cpu,p5_rss_mb,p5_threads,p5_age_s
2026-02-14 18:40:54,15.8,35.5,490178.8695636525,15772.2883644256,23188.54743025386,7729.51581008462,9.0,1683.96875,53.562,50.0,1815.0,99.2,38.20703125,4.0,3.071155071258545,83.9,579.26953125,42.0,407.6415901184082,53.2,266.2890625,175.0,8680.888720989227,20.3,109.9296875,35.0,9499.353145837784,14.0,110.203125,148.0,9528.619239330292
2026-02-14 18:40:55,15.8,35.5,490178.8695636525,15772.2883644256,23188.54743025386,7729.51581008462,9.0,1683.96875,53.562,50.0,1815.0,99.2,38.20703125,4.0,3.071155071258545,83.9,579.26953125,42.0,407.6415901184082,53.2,266.2890625,175.0,8680.888720989227,20.3,109.9296875,35.0,9499.353145837784,14.0,110.203125,148.0,9528.619239330292
2026-02-14 18:40:56,14.1,35.5,466234.425602672,11299.0656596205,6268.374082119062,656808.071792038,9.0,1684.00390625,53.346,50.0,1815.0,100.0,38.34375,4.0,5.305522918701172,78.7,583.51953125,42.0,410.02367639541626,51.7,264.91796875,175.0,8683.126379013062,28.2,110.02734375,148.0,9531.21924161911,16.1,109.93359375,35.0,9501.590629577637
2026-02-14 18:40:57,14.1,35.5,466234.425602672,11299.0656596205,6268.374082119062,656808.071792038,9.0,1684.00390625,53.346,50.0,1815.0,100.0,38.34375,4.0,5.305522918701172,78.7,583.51953125,42.0,410.02367639541626,51.7,264.91796875,175.0,8683.126379013062,28.2,110.02734375,148.0,9531.21924161911,16.1,109.93359375,35.0,9501.590629577637
2026-02-14 18:40:58,15.6,35.5,436279.9187462117,9448.939308961852,22011.10260256365,594758.3349067719,31.0,1990.49609375,86.452,54.0,1890.0,101.1,770.359375,11.0,8433.362920761108,99.9,38.3515625,4.0,7.35341739654541,73.9,586.3515625,42.0,412.35209941864014,42.9,294.51953125,175.0,8685.20225596428,32.8,110.0625,148.0,9533.4633538723
2026-02-14 18:40:59,21.1,36.0,1121835.6777776976,17523.854279131247,362176.8219861178,542101.9241291143,55.0,2389.09375,120.869,59.0,1980.0,99.8,39.0078125,4.0,8.903512239456177,38.3,321.3671875,176.0,8686.75099849701,35.6,31.046875,6.0,9535.402138471603,29.4,111.30078125,148.0,9535.422732114792,26.4,591.8984375,42.0,414.0648033618927
2026-02-14 18:41:00,21.1,36.0,1121835.6777776976,17523.854279131247,362176.8219861178,542101.9241291143,55.0,2389.09375,120.869,59.0,1980.0,99.8,39.0078125,4.0,8.903512239456177,38.3,321.3671875,176.0,8686.75099849701,35.6,31.046875,6.0,9535.402138471603,29.4,111.30078125,148.0,9535.422732114792,26.4,591.8984375,42.0,414.0648033618927
2026-02-14 18:41:01,12.6,36.0,1172598.1463015436,22661.73332127768,1974609.846918681,6348699.759484713,59.0,2367.46875,191.482,61.0,1980.0,97.9,39.015625,4.0,10.35628366470337,37.4,561.51953125,42.0,415.5667703151703,25.8,109.9375,35.0,9506.663429498672,17.2,321.5703125,176.0,8688.202430486679,14.1,110.58203125,148.0,9536.977342367172
2026-02-14 18:41:02,9.6,36.0,1212719.229678359,23401.520342456195,89928.58198447339,1273754.055764455,40.0,2362.78125,147.317,59.0,1980.0,96.7,39.0234375,4.0,11.794353008270264,21.7,320.5078125,176.0,8689.64153456688,20.6,109.9375,35.0,9508.102468252182,20.4,110.61328125,148.0,9538.434671640396,19.4,571.48828125,43.0,417.01907873153687
2026-02-14 18:41:03,9.6,36.0,1212719.229678359,23401.520342456195,89928.58198447339,1273754.055764455,40.0,2362.78125,147.317,59.0,1980.0,96.7,39.0234375,4.0,11.794353008270264,21.7,320.5078125,176.0,8689.64153456688,20.6,109.9375,35.0,9508.102468252182,20.4,110.61328125,148.0,9538.434671640396,19.4,571.48828125,43.0,417.01907873153687
2026-02-14 18:41:04,12.7,36.0,1146575.963143312,20525.577355266807,319679.16017258045,2157120.761610961,40.0,2361.44921875,147.81,59.0,1980.0,98.9,38.37890625,4.0,13.233007192611694,29.5,436.44140625,90.0,8690.519731760025,25.0,109.9375,35.0,9509.54289650917,21.8,110.58203125,148.0,9539.867353916168,15.2,317.953125,176.0,8691.081820249557
2026-02-14 18:41:05,10.7,36.0,1090954.7026529803,19343.193200458336,139875.92318878724,1441935.2183823704,40.0,2363.40625,148.146,59.0,1980.0,98.7,39.0390625,4.0,14.657179594039915,29.7,317.90625,176.0,8692.502959728241,27.2,579.73046875,43.0,419.8883154392242,26.4,109.953125,35.0,9510.964506149292,25.1,439.62890625,91.0,8691.953140497208
2026-02-14 18:41:06,10.7,36.0,1090954.7026529803,19343.193200458336,139875.92318878724,1441935.2183823704,40.0,2363.40625,148.146,59.0,1980.0,98.7,39.0390625,4.0,14.657179594039915,29.7,317.90625,176.0,8692.502959728241,27.2,579.73046875,43.0,419.8883154392242,26.4,109.953125,35.0,9510.964506149292,25.1,439.62890625,91.0,8691.953140497208
