scenario,alpha,model,TP,FP,FN,TN,precision,recall,f1_score,false_positive_rate,positive_rate,first_event_start_sec,detection_delay_sec
stress_stealth_blend_alpha_1.00.csv,1.0,isolation_forest,140,0,62,396,1.0,0.693069306930693,0.8187134502923976,0.0,0.23411371237458195,1980.0,-20.0
stress_stealth_blend_alpha_1.00.csv,1.0,one_class_svm,202,2,0,394,0.9901960784313726,1.0,0.9950738916256158,0.005050505050505051,0.3411371237458194,1980.0,-20.0
stress_stealth_blend_alpha_1.00.csv,1.0,tcn_forecaster_dl,203,22,0,372,0.9022222222222223,1.0,0.9485981308411215,0.05583756345177665,0.3768844221105528,1970.0,-30.0
stress_stealth_blend_alpha_0.75.csv,0.75,isolation_forest,89,0,113,396,1.0,0.4405940594059406,0.6116838487972509,0.0,0.1488294314381271,1980.0,-20.0
stress_stealth_blend_alpha_0.75.csv,0.75,one_class_svm,202,2,0,394,0.9901960784313726,1.0,0.9950738916256158,0.005050505050505051,0.3411371237458194,1980.0,-20.0
stress_stealth_blend_alpha_0.75.csv,0.75,tcn_forecaster_dl,203,22,0,372,0.9022222222222223,1.0,0.9485981308411215,0.05583756345177665,0.3768844221105528,1970.0,-30.0
stress_stealth_blend_alpha_0.50.csv,0.5,isolation_forest,30,0,172,396,1.0,0.1485148514851485,0.25862068965517243,0.0,0.05016722408026756,3000.0,1000.0
stress_stealth_blend_alpha_0.50.csv,0.5,one_class_svm,202,2,0,394,0.9901960784313726,1.0,0.9950738916256158,0.005050505050505051,0.3411371237458194,1980.0,-20.0
stress_stealth_blend_alpha_0.50.csv,0.5,tcn_forecaster_dl,202,22,1,372,0.9017857142857143,0.9950738916256158,0.946135831381733,0.05583756345177665,0.37520938023450584,1970.0,-30.0
stress_stealth_blend_alpha_0.35.csv,0.35,isolation_forest,8,0,194,396,1.0,0.039603960396039604,0.07619047619047618,0.0,0.013377926421404682,3370.0,1370.0
stress_stealth_blend_alpha_0.35.csv,0.35,one_class_svm,202,2,0,394,0.9901960784313726,1.0,0.9950738916256158,0.005050505050505051,0.3411371237458194,1980.0,-20.0
stress_stealth_blend_alpha_0.35.csv,0.35,tcn_forecaster_dl,202,22,1,372,0.9017857142857143,0.9950738916256158,0.946135831381733,0.05583756345177665,0.37520938023450584,1970.0,-30.0
stress_stealth_blend_alpha_0.25.csv,0.25,isolation_forest,0,0,202,396,0.0,0.0,0.0,0.0,0.0,,
stress_stealth_blend_alpha_0.25.csv,0.25,one_class_svm,202,2,0,394,0.9901960784313726,1.0,0.9950738916256158,0.005050505050505051,0.3411371237458194,1980.0,-20.0
stress_stealth_blend_alpha_0.25.csv,0.25,tcn_forecaster_dl,202,22,1,372,0.9017857142857143,0.9950738916256158,0.946135831381733,0.05583756345177665,0.37520938023450584,1970.0,-30.0
stress_stealth_blend_alpha_0.15.csv,0.15,isolation_forest,0,0,202,396,0.0,0.0,0.0,0.0,0.0,,
stress_stealth_blend_alpha_0.15.csv,0.15,one_class_svm,26,2,176,394,0.9285714285714286,0.12871287128712872,0.22608695652173916,0.005050505050505051,0.046822742474916385,1980.0,-20.0
stress_stealth_blend_alpha_0.15.csv,0.15,tcn_forecaster_dl,202,22,1,372,0.9017857142857143,0.9950738916256158,0.946135831381733,0.05583756345177665,0.37520938023450584,1970.0,-30.0
stress_stealth_blend_alpha_0.10.csv,0.1,isolation_forest,0,0,202,396,0.0,0.0,0.0,0.0,0.0,,
stress_stealth_blend_alpha_0.10.csv,0.1,one_class_svm,8,2,194,394,0.8,0.039603960396039604,0.07547169811320754,0.005050505050505051,0.016722408026755852,3000.0,1000.0
stress_stealth_blend_alpha_0.10.csv,0.1,tcn_forecaster_dl,202,22,1,372,0.9017857142857143,0.9950738916256158,0.946135831381733,0.05583756345177665,0.37520938023450584,1970.0,-30.0
