rank,feature,importance,importance_share,mean_feature_mse,windows_used
1,net_in_bps,2164.607723304378,0.3678466066919069,1008.2676314331991,3128
2,cpu,1124.2438459079283,0.19105045194063505,71.53076796275576,3128
3,gpu_clock_mhz,1002.5016484175192,0.1703619670221296,283.19483296035804,3128
4,p2_rss_mb,504.2439932664642,0.08568963321663413,25.24874542314378,3128
5,p1_cpu,328.598450487532,0.05584098387653237,16.437147877100482,3128
6,net_out_bps,226.72654626558503,0.038529193900988246,11.347923883696652,3128
7,p1_age_s,107.39298226827246,0.018250024558539028,9.301051586180392,3128
8,gpu_mem_used_mb,75.06436758212116,0.012756201782559446,3.761399798381054,3128
9,gpu_power_w,71.29129847846067,0.012115018323934032,15.936961454503676,3128
10,ram,65.35921296805067,0.011106938429310228,3.29260679279142,3128
11,gpu_util,61.67659671715153,0.010481126243084726,7.212885395645181,3128
12,p3_cpu,26.64476977101982,0.0045279281048645394,9.797036017298394,3128
13,gpu_temp_c,24.057043051170876,0.004088177990931974,2.9198883524941057,3128
14,p5_cpu,14.606505098855099,0.0024821833898106085,8.66949423865589,3128
15,p1_rss_mb,11.38876647168718,0.0019353710401723474,0.5798356039139926,3128
16,p5_rss_mb,9.852047190946692,0.0016742258142856477,8.697694197944973,3128
17,p4_cpu,9.215589752587515,0.001566068245372028,9.558632618935821,3128
18,p1_threads,8.318386614475104,0.0014136003749515302,0.6576616136009431,3128
19,disk_write_bps,6.703177264279417,0.001139116794314792,59.18977718889866,3128
20,p4_rss_mb,5.984981371008831,0.0010170688502760654,3.060855641084559,3128
21,p2_cpu,5.056351625096157,0.0008592604412837487,1.769990106372882,3128
22,p4_age_s,5.054677353490649,0.0008589759208497984,4.374577163735314,3128
23,p3_threads,4.58491692701569,0.0007791463161705868,2.867508324820672,3128
24,p3_rss_mb,4.469433133254576,0.0007595213646352178,1.7660636901855469,3128
25,p3_age_s,3.58084682064593,0.0006085178103528782,2.620892858871109,3128
26,disk_read_bps,3.2056576272715693,0.0005447593426340481,6.896644416672494,3128
27,p2_threads,2.993149350061441,0.0005086463565146242,6.125563755669557,3128
28,p4_threads,2.9753606459673714,0.0005056234002680942,2.3157205410930506,3128
29,p5_age_s,2.435174849332141,0.00041382593039115023,2.6001239981492765,3128
30,p5_threads,1.3630142602164421,0.00023162634277582503,1.6177171868131595,3128
31,p2_age_s,0.3425400946146387,5.8210182890584506e-05,2.098065720189868,3128
