ts,scenario,cpu,ram,net_in_bps,net_out_bps,disk_read_bps,disk_write_bps,gpu_util,gpu_mem_used_mb,gpu_power_w,gpu_temp_c,gpu_clock_mhz,p1_cpu,p1_rss_mb,p1_threads,p1_age_s,p2_cpu,p2_rss_mb,p2_threads,p2_age_s,p3_cpu,p3_rss_mb,p3_threads,p3_age_s,p4_cpu,p4_rss_mb,p4_threads,p4_age_s,p5_cpu,p5_rss_mb,p5_threads,p5_age_s
2026-02-14T16:20:58,Youtube,7.3,31.8,1414.3139304230815,92.95960106067203,108789.2931270036,494084.70628514135,3.0,1524.8125,53.364,51.0,1815.0,95.9,37.75390625,4,0.9015471935272217,14.0,2.19140625,410,1771075256.4038298,6.1,363.9140625,31,283.58200573921204,4.9,277.90625,164,1128.8629550933838,4.8,31.43359375,13,1131.5401380062103
2026-02-14T16:21:00,Youtube,6.5,31.8,2240.282920984261,2696.447018247903,299638.77257969853,35307.753456843464,3.0,1510.6015625,53.534,51.0,1815.0,99.9,38.89453125,4,3.045506000518799,19.4,158.671875,185,287.20155024528503,18.1,367.41796875,31,285.478364944458,5.1,109.7421875,148,1135.6197185516357,4.5,456.2890625,78,286.475558757782
2026-02-14T16:21:02,Youtube,7.9,31.8,1131.5809006072964,558.9073548011708,36087.24374802909,213140.2833867968,11.0,1531.07421875,53.961,52.0,1815.0,100.4,38.8984375,4,4.7869651317596436,17.1,372.171875,31,287.2170579433441,15.3,159.01171875,185,288.942910194397,6.4,60.296875,33,1137.4426534175873,5.2,109.734375,148,1137.4170985221863
2026-02-14T16:21:03,Youtube,8.3,31.7,0.0,367.0479347598962,9440.680318847943,39237.82757521176,3.0,1523.08203125,53.55,52.0,1815.0,98.7,38.25,4,6.513072729110718,12.5,164.83984375,185,290.69273829460144,11.4,380.00390625,31,288.99829030036926,10.6,31.47265625,13,1136.9746522903442,8.1,109.67578125,148,1139.1513781547546
2026-02-14T16:21:05,Youtube,7.7,31.8,223765.3497979843,7188.049574321733,102991.90483615237,173239.10079776717,11.0,1540.0625,54.355,52.0,1815.0,97.4,38.8984375,4,8.487772464752197,37.9,380.515625,31,291.0196249485016,36.9,170.08984375,186,292.81063532829285,14.8,459.0703125,79,291.9812400341034,5.1,2.19140625,410,1771075263.9391408
2026-02-14T16:21:07,Youtube,10.9,31.9,145.97842016176608,105.99093213065524,126294.94051117495,583127.4206414405,5.0,1533.3203125,53.717,52.0,1815.0,97.8,38.8984375,4,10.435921430587769,42.0,423.2734375,39,292.8803210258484,14.2,168.65625,186,294.57425904273987,7.8,460.44921875,80,293.7829899787903,7.7,31.43359375,13,1140.8797016143799
2026-02-14T16:21:10,Youtube,8.6,32.0,42446.23876799391,20535.415356216425,63378.80320025359,455975.27857960225,13.0,1575.10546875,53.219,52.0,1815.0,98.7,38.8984375,4,12.258198976516724,43.6,568.9921875,43,295.17690420150757,38.7,468.8046875,87,295.93096590042114,21.2,202.27734375,193,297.1592183113098,11.4,279.19921875,92,1143.1394429206848
2026-02-14T16:21:12,Youtube,15.0,32.7,682583.991934352,56971.409799640074,309907.69471130177,907710.9488086166,8.0,1558.63671875,55.771,52.0,1815.0,98.4,38.90625,4,14.924991369247437,98.1,699.9296875,57,297.6290748119354,31.8,200.32421875,193,299.4147791862488,19.2,478.140625,91,298.44156861305237,14.7,2.19140625,410,1771075270.4092312
2026-02-14T16:21:14,Youtube,10.3,33.0,22329.996908271925,17553.158456522695,300842.89183135005,1881196.6013898617,6.0,1560.390625,54.297,52.0,1815.0,97.2,38.92578125,4,17.06284475326538,22.5,186.703125,193,301.4283912181854,17.3,696.03515625,45,299.61947751045227,9.2,2.1953125,410,1771075272.6125703,8.6,110.3046875,148,1149.6705105304718
2026-02-14T16:21:16,Youtube,9.0,33.0,13332.692540644874,5619.0284419613745,61939.55685792929,314443.1535650523,6.0,1541.453125,54.83,52.0,1815.0,98.4,38.9296875,4,19.1267352104187,29.7,186.4140625,193,303.37753534317017,18.3,111.3671875,148,1151.7207641601562,15.3,687.9375,47,301.56052350997925,4.8,278.00390625,164,1146.8278527259827
2026-02-14T16:21:18,Youtube,9.6,32.8,1489.1925162611583,55.84471935979344,84718.5075917459,761407.5869808162,5.0,1541.453125,53.77,51.0,1815.0,99.7,38.9296875,4,21.070934534072876,68.8,575.5390625,47,303.53736662864685,12.1,110.17578125,148,1153.6576476097107,11.6,184.96484375,193,305.25700068473816,8.1,2.1953125,410,1771075276.5989604
2026-02-14T16:21:20,Youtube,7.6,32.5,1999.7462617733884,9881.548031057926,31254.687826419507,72834.5850240669,5.0,1541.0,53.845,51.0,1815.0,99.2,38.93359375,4,22.866013288497925,18.6,185.44921875,193,307.0199854373932,16.8,557.99609375,47,305.29977107048035,5.1,110.125,148,1155.484926700592,4.3,2.1953125,410,1771075278.4301348
2026-02-14T16:21:21,Youtube,7.2,32.5,143.82888606156698,785.3963187692653,18555.058812856012,265859.20205295255,4.0,1533.75,53.701,51.0,1815.0,98.5,38.93359375,4,24.62707233428955,25.4,433.86328125,47,307.02172207832336,10.0,179.7421875,193,308.7336051464081,8.0,110.09765625,148,1157.2499341964722,5.3,2.1953125,410,1771075280.195082
2026-02-14T16:21:23,Youtube,8.8,32.1,1647.5216294592587,1154.7830556592535,93260.69992074408,470488.2746001641,5.0,1533.75,53.719,51.0,1815.0,98.3,38.93359375,4,26.32709002494812,11.4,179.6171875,193,310.3719062805176,8.5,31.46875,14,1156.6749789714813,8.3,60.3046875,33,1158.9843437671661,7.3,109.98046875,148,1158.9601657390594
2026-02-14T16:21:25,Youtube,8.7,32.1,273.7535704627979,3293.6167828835055,22576.40183789839,101593.80827054275,8.0,1555.13671875,53.488,50.0,1815.0,100.3,38.9375,4,27.96278691291809,19.1,31.47265625,14,1158.313984632492,17.3,175.4921875,193,311.99799823760986,13.4,437.32421875,47,310.2955095767975,9.6,60.3984375,33,1160.6214101314545
