ts,scenario,cpu,ram,net_in_bps,net_out_bps,disk_read_bps,disk_write_bps,gpu_util,gpu_mem_used_mb,gpu_power_w,gpu_temp_c,gpu_clock_mhz,p1_cpu,p1_rss_mb,p1_threads,p1_age_s,p2_cpu,p2_rss_mb,p2_threads,p2_age_s,p3_cpu,p3_rss_mb,p3_threads,p3_age_s,p4_cpu,p4_rss_mb,p4_threads,p4_age_s,p5_cpu,p5_rss_mb,p5_threads,p5_age_s
2026-02-13T22:56:09,gaming_1,10.1,43.6,136.95352708850328,127.30891250480586,181719.97014019318,0.0,33.0,2637.07421875,97.089,52.0,1815.0,100.4,39.28515625,4,2.65674090385437,75.9,3617.2421875,140,4147.011658668518,6.2,252.27734375,82,23427.311363697052,3.4,303.921875,36,23322.10052371025,3.4,128.34375,49,23322.84990978241
2026-02-13T22:56:11,gaming_1,12.7,43.5,832.2659496895755,740.0787598701719,599815.58181119,156325.8740131147,41.0,2637.44921875,101.159,54.0,1995.0,97.4,39.60546875,4,4.772734880447388,73.9,3617.33984375,140,4149.060861349106,31.0,30.8125,8,23431.7582154274,10.9,293.04296875,249,23427.79590535164,8.1,4.80859375,405,1771012569.258108
2026-02-13T22:56:13,gaming_1,12.5,43.6,9856.164027904673,5568.827974815438,18369.172043361414,78355.99949746353,12.0,2662.63671875,61.848,51.0,1815.0,104.5,549.4453125,11,8196.091500043869,99.7,38.953125,4,6.764285326004028,61.5,3618.0859375,144,4151.069545984268,32.9,294.26171875,254,23429.696094989777,16.0,160.09765625,23,23325.168399333954
2026-02-13T22:56:14,gaming_1,21.0,44.0,6494.765925763202,906.5456134093856,40537.236162934976,6963537.099614174,30.0,2662.63671875,94.666,52.0,1815.0,99.3,38.95703125,4,8.369154691696167,70.4,3618.14453125,144,4152.689030647278,48.5,48.73046875,33,23434.23548054695,46.0,43.9921875,30,23431.795060157776,27.6,294.44140625,254,23431.39383482933
2026-02-13T22:56:16,gaming_1,8.8,43.9,659.7665112050456,1496.7456698642002,0.0,387736.17298505915,30.0,2662.76171875,94.087,52.0,1815.0,100.3,39.65234375,4,9.911810159683228,61.2,3618.2265625,144,4154.195188999176,16.3,294.57421875,254,23432.932772874832,5.0,91.85546875,149,23437.09960460663,3.1,104.08203125,49,23405.21614432335
2026-02-13T22:56:17,gaming_1,8.9,43.9,0.0,162.1458085408386,0.0,80597.27656536618,4.0,2485.63671875,65.993,49.0,1815.0,100.0,39.6640625,4,11.365281581878662,61.2,3621.59765625,144,4155.650760650635,6.4,294.57421875,254,23434.404710769653,5.3,261.6953125,82,23436.262775421143,3.2,91.86328125,149,23438.58224964142
2026-02-13T22:56:19,gaming_1,7.4,43.8,827764.5926993092,121629.25128526088,13563188.172674397,163126.33801427882,6.0,2485.63671875,55.602,48.0,1815.0,100.2,39.671875,4,12.830538272857666,33.1,3619.2265625,143,4157.112563371658,8.6,25.44140625,14,23437.728255987167,5.3,258.5859375,82,23437.724435806274,4.3,4.80859375,405,1771012577.578684
2026-02-13T22:56:20,gaming_1,7.6,43.8,139630.62492453397,89056.14153196638,0.0,21058.4202583382,5.0,2485.63671875,55.26,48.0,1815.0,97.7,39.67578125,4,14.28533935546875,38.6,3616.5234375,143,4158.570122718811,9.6,25.4375,14,23439.188393831253,5.4,4.80859375,405,1771012579.0379744,5.4,91.85546875,149,23441.50553750992
2026-02-13T22:56:22,gaming_1,7.2,43.6,104066.73540397942,49119.64702223335,0.0,10868.760194851428,22.0,2800.203125,60.567,50.0,1815.0,98.6,39.6796875,4,15.775882959365845,65.8,3637.1640625,144,4160.065633773804,6.4,4.80859375,405,1771012580.4982817,6.4,260.75,82,23440.65673303604,5.3,91.84765625,149,23442.967128515244
2026-02-13T22:56:23,gaming_1,12.8,43.7,404.0131815914324,1662.5488001414153,29212523.072172478,57584.75904586562,6.0,2572.03515625,60.714,48.0,1815.0,176.6,3777.6015625,144,4161.685740470886,100.1,39.68359375,4,17.39915370941162,28.5,4.80859375,405,1771012582.0919466,7.8,91.5,149,23444.564075946808,2.9,30.90234375,16,11.636178731918335
2026-02-13T22:56:25,gaming_1,13.4,44.1,1377.728506853924,1648.9400766016222,5056802.103173739,127764.94675571949,6.0,2572.03515625,55.542,48.0,1815.0,133.9,3776.98046875,143,4163.143352508545,99.4,39.69140625,4,18.86162519454956,5.1,4.80859375,405,1771012583.6122844,2.1,91.5,149,23446.080893993378,1.1,258.234375,82,23443.750797748566
2026-02-13T22:56:26,gaming_1,10.5,44.1,543.329841534394,1388.50959503234,11239.79308547918,194588.9177923583,6.0,2494.1875,55.933,47.0,1815.0,128.4,3775.57421875,143,4164.591757059097,98.3,39.69140625,4,20.307549476623535,3.2,4.80859375,405,1771012585.0697222,2.1,91.49609375,149,23447.541749477386,1.1,107.1171875,37,23413.794262886047
2026-02-13T22:56:27,gaming_1,10.5,44.0,4491.58184845184,1928.7340023427805,0.0,46584.100469980185,4.0,2448.38671875,52.988,47.0,1815.0,146.1,3615.25390625,143,4166.0351848602295,100.7,39.69921875,4,21.753344535827637,3.3,4.80859375,405,1771012586.511141,1.1,258.234375,82,23446.64539861679,1.1,294.4453125,254,23444.78811764717
2026-02-13T22:56:29,gaming_1,10.7,43.6,173.17474281723185,120.0494233075631,33911.89226674334,128582.59151140184,7.0,2448.38671875,56.333,47.0,1815.0,110.9,3614.71875,143,4167.4722900390625,98.8,39.703125,4,23.189598083496094,4.3,4.80859375,405,1771012587.9590573,1.1,91.49609375,149,23450.426203727722,1.1,11.2421875,11,23450.366132974625
2026-02-13T22:56:30,gaming_1,9.1,43.6,0.0,87.5934115816745,0.0,21168.174216473784,6.0,2448.38671875,55.826,47.0,1815.0,114.1,3612.578125,143,4168.897061824799,99.9,39.70703125,4,24.612213134765625,2.2,77.46484375,107,23424.201103448868,2.2,20.05859375,6,6847.208573579788,1.1,29.45703125,9,23435.19724059105
2026-02-13T22:56:32,gaming_1,10.7,43.6,462.62298468162504,1050.013986444052,0.0,19379.697394662984,5.0,2447.76171875,55.146,47.0,1815.0,114.1,3613.125,143,4170.335399389267,99.6,39.70703125,4,26.054854154586792,7.6,25.40234375,13,23450.95079779625,5.5,91.49609375,149,23453.28125476837,3.3,40.85546875,37,23453.252833366394
2026-02-13T22:56:33,gaming_1,9.8,43.6,49.39451576733478,91.83205748293227,11398.30628636638,522897.30088705773,5.0,2447.76171875,54.229,47.0,1815.0,127.1,3612.625,143,4171.773792982101,100.0,39.71484375,4,27.492926120758057,3.3,91.5,149,23454.718196630478,1.1,4.80859375,405,1771012592.25078,1.1,106.16015625,37,23420.971261024475
2026-02-13T22:56:35,gaming_1,10.0,43.6,53.98585946660955,89.28430604093118,11339.798993601678,85048.49245201258,5.0,2447.38671875,55.68,47.0,1815.0,111.0,3613.4140625,143,4173.252160310745,98.7,39.71484375,4,28.94945454597473,3.2,91.5,149,23456.16316509247,2.1,328.33203125,95,23423.56992125511,1.1,106.1640625,37,23422.415041208267
2026-02-13T22:56:36,gaming_1,10.0,43.6,878.9285482835096,751.4296539337412,63543.27874997817,12847.548162563893,6.0,2447.38671875,56.283,47.0,1815.0,106.7,3613.3828125,143,4174.6722111701965,98.5,39.703125,6,30.39152216911316,18.0,4.80859375,405,1771012595.1697717,2.2,25.09765625,15,23328.53862595558,2.1,91.49609375,149,23457.637171268463
2026-02-13T22:56:37,gaming_1,10.9,43.5,0.0,0.0,0.0,37930.95912164191,6.0,2447.76171875,56.418,46.0,1815.0,120.3,3613.0703125,143,4176.088214635849,99.4,39.6875,6,31.806193113327026,7.7,25.40234375,14,23456.71275115013,6.6,40.97265625,37,23459.02786540985,4.4,4.80859375,405,1771012596.5870137
2026-02-13T22:56:39,gaming_1,9.0,43.6,4096.908603712063,1421.3620586225563,0.0,13362.919522851469,8.0,2447.76171875,53.898,46.0,1815.0,103.6,3612.6015625,143,4177.506057024002,100.3,39.6796875,6,33.22433924674988,5.5,91.49609375,149,23460.47635960579,3.3,104.07421875,48,23428.52725148201,2.2,277.734375,35,23425.372788906097
2026-02-13T22:56:40,gaming_1,9.6,43.6,35.35980759723832,50.21092678807842,0.0,73503.13924853125,3.0,2486.07421875,54.491,46.0,1815.0,104.6,3612.55859375,143,4178.924639940262,100.1,39.6875,6,34.64460372924805,4.4,25.4375,14,23459.54822254181,4.4,277.73828125,35,23426.785722970963,3.3,29.45703125,9,23445.221747875214
2026-02-13T22:56:42,gaming_1,14.0,43.6,10385.532412663093,824.8033548891136,0.0,9304.90022057956,6.0,2485.63671875,55.21,46.0,1815.0,142.1,3621.58984375,143,4180.35444021225,98.6,39.68359375,6,36.07061839103699,20.8,25.40234375,13,23460.976479291916,12.1,41.56640625,37,23463.28556585312,6.6,4.80859375,405,1771012600.8492472
2026-02-13T22:56:43,gaming_1,13.5,43.6,270746.2740949603,2922.2222130011423,0.0,10060.753517191253,6.0,2503.26171875,57.679,46.0,1815.0,173.3,3633.10546875,147,4181.833396434784,100.1,39.6875,6,37.55316710472107,15.1,41.56640625,37,23464.738060951233,14.8,25.40234375,13,23462.458788633347,11.0,4.80859375,405,1771012602.273838
2026-02-13T22:56:45,gaming_1,17.3,43.6,4594.971131789822,1510.197750845108,7477791.105513175,107468.13976884264,7.0,2503.26171875,57.025,46.0,1815.0,116.5,3633.08203125,147,4183.283638477325,99.4,39.6953125,6,38.99999189376831,9.4,4.80859375,405,1771012603.765883,9.4,19.3984375,11,23466.40967297554,6.3,91.46484375,148,23466.23639202118
2026-02-13T22:56:46,gaming_1,9.8,43.6,413.5947452534616,554.9410975875571,0.0,88411.79524125176,7.0,2509.38671875,57.135,46.0,1815.0,112.5,3632.90234375,147,4184.712268829346,99.3,39.69140625,6,40.4318585395813,6.5,91.4765625,148,23467.670391321182,3.3,4.80859375,405,1771012605.2015462,2.2,20.05859375,6,6863.027353525162
2026-02-13T22:56:48,gaming_1,10.2,43.6,0.0,454.0801432716951,4367498.142781935,113916.04407846581,7.0,2509.38671875,57.001,46.0,1815.0,120.6,3632.87890625,147,4186.137919187546,97.8,39.703125,6,41.85417652130127,5.5,4.80859375,405,1771012606.6308775,4.4,91.4765625,148,23469.097542524338,1.1,11.2890625,10,23469.036732196808
2026-02-13T22:56:49,gaming_1,10.2,43.6,50.20356244906657,84.8510914632111,0.0,86887.51765832817,22.0,2652.60546875,58.299,47.0,1815.0,104.9,3637.4453125,148,4187.5525159835815,99.1,39.703125,6,43.27311325073242,5.5,91.46875,148,23470.514216423035,2.2,4.80859375,405,1771012608.0448742,1.1,11.27734375,4,23457.051689386368
