ts,scenario,cpu,ram,net_in_bps,net_out_bps,disk_read_bps,disk_write_bps,gpu_util,gpu_mem_used_mb,gpu_power_w,gpu_temp_c,gpu_clock_mhz,p1_cpu,p1_rss_mb,p1_threads,p1_age_s,p2_cpu,p2_rss_mb,p2_threads,p2_age_s,p3_cpu,p3_rss_mb,p3_threads,p3_age_s,p4_cpu,p4_rss_mb,p4_threads,p4_age_s,p5_cpu,p5_rss_mb,p5_threads,p5_age_s
2026-02-05T22:51:43,idle,7.9,41.5,818.6202406227884,756.0062278839349,0.0,0.0,4.0,2517.1328125,53.564,49.0,1815.0,99.3,38.82421875,4,2.8978593349456787,18.7,395.79296875,35,9635.940504789352,15.2,29.7734375,13,15160.376149177551,11.7,65.94921875,90,15160.303066015244,7.8,356.6953125,85,15160.325690984726
2026-02-05T22:51:44,idle,7.7,41.6,3852.5622318972537,5731.358669376816,6884.8581596209215,197079.06481914886,3.0,2517.1328125,53.679,48.0,1815.0,100.6,38.94140625,4,4.745543956756592,4.7,122.6953125,148,15164.687724113464,3.5,61.21484375,36,15164.643126010895,2.0,7.6484375,15,15165.695689201355,1.6,29.7734375,13,15162.354436159134
2026-02-05T22:51:46,idle,5.2,41.5,249.4833607029628,2229.690035373449,0.0,66079.61013528172,2.0,2517.1328125,53.543,48.0,1815.0,99.3,38.20703125,4,6.475820064544678,5.3,29.7734375,13,15164.136754274368,4.2,122.65625,148,15166.537177324295,3.4,61.21484375,36,15166.470271348953,1.8,181.79296875,105,15139.759757757187
2026-02-05T22:51:48,idle,5.6,41.5,522.5091806358785,352.7805886998337,0.0,74740.82541281993,3.0,2517.1328125,53.577,47.0,1815.0,99.7,38.20703125,4,8.215121507644653,11.8,29.7734375,13,15165.865491390228,9.1,122.5625,148,15168.252834320068,5.4,334.390625,188,15135.854697465897,4.5,121.4296875,25,9639.581003189087
2026-02-05T22:51:50,idle,6.7,41.5,317.14833751813296,712.4346712363857,0.0,32358.323132284873,7.0,2517.1328125,53.53,47.0,1815.0,98.9,38.95703125,4,10.046980142593384,8.0,61.21484375,36,15169.950760602951,7.1,122.6875,148,15170.00626707077,3.5,29.7734375,13,15167.662828445435,3.4,10.8984375,4,15155.222960472107
2026-02-05T22:51:52,idle,6.1,41.5,205.79925505022405,163.76598545110667,0.0,100617.82146115994,3.0,2517.1328125,53.497,47.0,1815.0,98.4,38.98046875,4,11.809095621109009,5.1,122.68359375,148,15171.835600614548,2.6,60.546875,36,15171.779296636581,2.6,29.7734375,13,15169.466490745544,1.8,334.390625,188,15139.444320201874
2026-02-05T22:51:53,idle,6.1,41.5,163.89688895042505,258.03835457592874,0.0,10453.105388007732,3.0,2517.1328125,53.394,47.0,1815.0,99.6,38.984375,4,13.581262588500977,7.1,29.7734375,13,15171.228996276855,4.4,122.67578125,148,15173.601102113724,4.4,60.62109375,36,15173.545738697052,3.5,65.94921875,90,15171.14859342575
2026-02-05T22:51:55,idle,5.5,41.5,198.78228715116714,273.32564483285483,2313.1029777590356,37009.64764414457,3.0,2517.1328125,53.405,46.0,1815.0,95.6,38.984375,4,15.378293514251709,7.0,60.62109375,36,15175.32039809227,6.2,122.546875,148,15175.373597860336,4.4,29.8125,14,15173.0097386837,1.8,3.28515625,402,1770321113.8429184
2026-02-05T22:51:57,idle,5.6,41.5,169.15163610603315,30.04667220304536,0.0,22790.95728586552,3.0,2517.1328125,53.058,46.0,1815.0,97.9,38.2421875,4,17.149954557418823,5.2,3.28515625,402,1770321115.640015,5.2,122.69921875,148,15177.170749902725,4.4,60.62109375,36,15177.114426851273,3.5,29.8125,14,15174.804652690887
2026-02-05T22:51:59,idle,6.2,41.5,2963.181872794699,3047.3599660351965,0.0,51776.87174030287,3.0,2517.1328125,52.793,46.0,1815.0,99.7,38.2421875,4,18.875260591506958,5.4,29.8125,14,15176.532344341278,4.5,10.8984375,4,15164.064531087875,4.4,122.69140625,148,15178.929767131805,3.6,60.62109375,36,15178.865011930466
2026-02-05T22:52:00,idle,5.0,41.5,380.32435941136646,622.6651859875116,9498.832781396079,135655.20565931275,3.0,2517.1328125,52.666,46.0,1815.0,100.0,38.984375,4,20.609148740768433,3.6,122.62890625,148,15180.650706291199,2.7,29.7734375,14,15178.24385881424,1.8,65.94921875,90,15178.16311097145,1.8,112.43359375,37,15148.457623243332
2026-02-05T22:52:02,idle,5.4,41.5,101.38233175481983,204.49277143727863,0.0,13861.729723568093,3.0,2517.1328125,52.659,47.0,1815.0,99.3,38.984375,4,22.34103274345398,5.4,122.6875,148,15182.390769004822,5.4,29.8125,14,15179.990413427353,2.7,3.28515625,402,1770321120.871846,2.7,65.94921875,90,15179.910480499268
2026-02-05T22:52:04,idle,5.7,41.5,59.49849164953383,3889.352857051566,0.0,28984.430262203976,3.0,2517.1328125,52.562,47.0,1815.0,99.1,38.98828125,4,24.121856927871704,8.8,29.80859375,14,15181.766751289368,7.2,122.69140625,148,15184.134280443192,1.8,3.28515625,402,1770321122.6034122,1.8,60.69921875,36,15184.07339811325
2026-02-05T22:52:06,idle,5.4,41.5,1451.7148584057152,3118.9975844169194,36790.249404670125,28454.95852392455,3.0,2517.1328125,52.858,47.0,1815.0,99.2,38.98828125,4,25.838501930236816,8.0,122.68359375,148,15185.901978492737,2.7,60.69921875,36,15185.834596633911,2.7,29.8125,14,15183.50193285942,1.8,3.28515625,402,1770321124.3838277
2026-02-05T22:52:07,idle,5.5,41.5,158.03982278060374,472.9531227862348,0.0,174074.74147866826,3.0,2517.1328125,52.902,47.0,1815.0,99.2,38.25390625,4,27.604289054870605,5.3,112.4140625,37,15155.447742938995,4.4,65.94921875,90,15185.182760238647,3.6,122.703125,148,15187.630198001862,3.6,60.69921875,36,15187.576740980148
2026-02-05T22:52:09,idle,6.8,41.5,371.34325934531506,1431.030121379507,0.0,16520.246464533044,3.0,2517.1328125,52.845,47.0,1815.0,100.7,38.99609375,4,29.326877117156982,6.3,60.69921875,36,15189.32307267189,4.5,29.7734375,13,15186.989202022552,4.4,122.703125,148,15189.38582611084,2.7,161.4609375,36,15163.165438652039
2026-02-05T22:52:11,idle,5.4,41.5,0.0,338.2895366889483,38027.689668005005,71896.10077857197,4.0,2517.1328125,53.043,47.0,1815.0,99.4,39.0234375,6,31.041072130203247,5.5,122.671875,148,15191.103051662445,3.7,112.4140625,37,15158.882442951202,3.6,29.7734375,13,15188.706835746765,2.7,65.94921875,90,15188.62585902214
2026-02-05T22:52:13,idle,6.0,41.5,162.25138729233404,532.2779324122613,19124.65272947914,94427.97285180326,3.0,2517.1328125,52.868,48.0,1815.0,100.1,39.01953125,6,32.82134175300598,5.4,122.546875,148,15192.828496694565,5.3,112.4140625,37,15160.661506414413,3.6,29.7734375,13,15190.460763931274,1.8,61.3828125,36,15192.77062034607
2026-02-05T22:52:14,idle,5.9,41.5,197.61213067393942,302.0321769959642,0.0,48576.65466748474,3.0,2517.1328125,52.772,48.0,1815.0,99.3,39.01953125,6,34.56887197494507,6.1,29.7734375,13,15192.250231266022,5.3,112.41796875,37,15162.428163766861,5.3,334.390625,188,15162.223619937897,4.4,122.6953125,148,15194.610462665558
2026-02-05T22:52:16,idle,6.5,41.5,2435.44152084832,730.5752459768158,0.0,10252.081760301127,4.0,2517.1328125,52.944,48.0,1815.0,99.9,39.02734375,6,36.32017374038696,5.4,122.65234375,148,15196.357720136642,3.6,3.28515625,402,1770321134.8319142,3.6,29.8046875,14,15193.991446018219,3.6,112.41796875,37,15164.17341017723
2026-02-05T22:52:18,idle,5.8,41.5,7547.558870757573,2199.8714249690856,0.0,68750.2674940988,6.0,2517.1328125,53.023,48.0,1815.0,97.8,39.02734375,6,38.061771869659424,6.3,122.609375,148,15198.096326351166,5.5,112.43359375,37,15165.892762899399,4.5,3.28515625,402,1770321136.580978,4.5,61.3828125,36,15198.030835866928
2026-02-05T22:52:20,idle,5.9,41.5,2496.293558902301,396.53766648310113,0.0,35551.81116347479,3.0,2517.1328125,52.922,48.0,1815.0,98.8,38.3203125,6,39.80282664299011,8.0,122.671875,148,15199.844272136688,7.2,3.28515625,402,1770321138.3239715,3.6,112.4296875,37,15167.649816036224,3.5,29.8125,14,15197.469566106796
2026-02-05T22:52:21,idle,6.4,41.5,615.542119166422,0.0,0.0,116714.13555060039,3.0,2517.1328125,53.015,48.0,1815.0,100.4,39.07421875,6,41.51482057571411,10.0,112.4296875,37,15169.370423555374,8.2,29.8125,14,15199.192489862442,4.5,122.6640625,148,15201.585265636444,3.6,334.390625,188,15169.165973901749
2026-02-05T22:52:23,idle,8.2,41.5,3497.131845087106,3919.431425644538,0.0,10481.452193336834,3.0,2517.1328125,53.001,49.0,1815.0,100.1,39.07421875,6,43.2794234752655,8.0,112.4296875,37,15171.119117736816,7.3,3.28515625,402,1770321141.7780936,5.5,122.60546875,148,15203.303567647934,4.5,61.3828125,36,15203.244682312012
2026-02-05T22:52:25,idle,5.6,41.5,478.0950406314109,504.1523532724594,0.0,419092.22139898466,3.0,2517.1328125,52.933,49.0,1815.0,99.7,39.07421875,6,45.082215547561646,5.3,122.671875,148,15205.065086841583,4.4,3.28515625,402,1770321143.5411994,4.3,112.4296875,37,15172.927301645279,3.5,29.8125,14,15202.713012218475
2026-02-05T22:52:27,idle,5.8,41.5,1145.4366392965242,4982.0395163206995,0.0,62166.27274493739,3.0,2517.1328125,53.105,49.0,1815.0,98.2,39.07421875,6,46.8322548866272,9.0,112.4296875,37,15174.66545534134,7.0,122.66015625,148,15206.861088514328,6.1,3.28515625,402,1770321145.3453567,3.6,29.7734375,13,15204.470643520355
