ts,scenario,cpu,ram,net_in_bps,net_out_bps,disk_read_bps,disk_write_bps,gpu_util,gpu_mem_used_mb,gpu_power_w,gpu_temp_c,gpu_clock_mhz,p1_cpu,p1_rss_mb,p1_threads,p1_age_s,p2_cpu,p2_rss_mb,p2_threads,p2_age_s,p3_cpu,p3_rss_mb,p3_threads,p3_age_s,p4_cpu,p4_rss_mb,p4_threads,p4_age_s,p5_cpu,p5_rss_mb,p5_threads,p5_age_s
2026-02-13T17:53:30,idle_with_VPN,5.8,29.8,8567.643354304371,2719.4891348782885,0.0,467451.5121340023,1.0,1335.19140625,51.581,50.0,1815.0,95.9,37.94140625,4,0.895388126373291,4.9,339.93359375,36,5163.762102603912,4.2,368.3671875,256,5267.406697750092,3.0,26.97265625,9,5255.058616161346,2.9,258.4609375,85,5269.248446702957
2026-02-13T17:53:32,idle_with_VPN,7.2,29.8,0.0,306.368150572085,0.0,32017.83649752315,0.0,1335.19140625,51.611,50.0,1815.0,98.9,39.046875,4,2.727863073348999,3.9,30.3515625,13,5270.844521760941,3.4,59.19921875,33,5273.186297893524,2.5,4.6796875,402,1770994410.762372,2.3,169.83203125,165,5250.921902894974
2026-02-13T17:53:33,idle_with_VPN,4.8,29.8,39.25632164414599,509.54705494101495,0.0,46630.22910178237,0.0,1334.00390625,51.385,50.0,1815.0,100.4,39.0546875,4,4.0040013790130615,4.9,30.3515625,13,5272.116893529892,2.4,23.34375,6,5271.073194980621,2.4,289.83984375,276,5269.054543495178,2.4,132.125,32,5226.366311311722
2026-02-13T17:53:35,idle_with_VPN,5.3,29.7,629.9295380464291,3086.3459474382644,0.0,54544.48705907904,0.0,1355.04296875,51.604,50.0,1815.0,115.8,635.83984375,11,5163.293258428574,99.0,39.04296875,4,5.298914432525635,7.5,143.62890625,99,5168.446284294128,6.0,59.19921875,33,5275.759308815002,5.8,340.86328125,36,5168.028888940811
2026-02-13T17:53:36,idle_with_VPN,13.2,30.1,2397.058845582332,1802.2352544481078,21124.833201899855,98582.55494219933,0.0,1355.04296875,51.984,51.0,1815.0,99.1,39.0390625,4,7.080086708068848,18.8,155.87890625,23,5168.682258844376,17.4,345.03125,36,5169.644607543945,9.0,4.6796875,402,1770994415.0770352,7.5,258.9375,85,5275.27894115448
2026-02-13T17:53:37,idle_with_VPN,6.0,30.1,17954.61174080172,2630.1032206406326,0.0,367668.74689242535,0.0,1355.04296875,51.255,51.0,1815.0,98.8,39.05859375,4,8.519716501235962,3.4,262.05078125,85,5276.652756929398,2.1,116.45703125,148,5279.009080648422,1.2,50.05859375,17,5171.101051092148,1.1,12.32421875,15,5278.951223611832
2026-02-13T17:53:39,idle_with_VPN,4.5,30.1,5818.466626185249,7547.246858797702,12538.439721612405,101874.8227381008,0.0,1355.04296875,51.226,51.0,1815.0,98.5,39.0625,4,9.819450378417969,12.0,157.7265625,23,5171.291816473007,8.5,30.3515625,13,5277.939451217651,2.4,59.79296875,33,5280.2780418396,2.4,132.12890625,32,5232.191956520081
2026-02-13T17:53:40,idle_with_VPN,6.7,30.1,454.93613208979383,162.6415851653226,0.0,61668.77916004383,3.0,1355.04296875,51.299,51.0,1815.0,98.4,38.44921875,4,11.122484922409058,6.0,4.6796875,402,1770994419.159311,6.0,262.1640625,85,5279.2395141124725,3.6,30.390625,14,5279.247926473618,2.4,12.3046875,15,5281.546323776245
2026-02-13T17:53:41,idle_with_VPN,4.6,30.1,835.2424491303906,328.51836589173064,0.0,59108.51202157629,0.0,1355.04296875,51.259,51.0,1815.0,99.3,39.0703125,4,12.412122249603271,4.9,30.3515625,13,5280.522130489349,3.6,59.79296875,33,5282.871331691742,1.3,157.7265625,23,5173.834010362625,1.2,116.44921875,148,5282.908938169479
2026-02-13T17:53:42,idle_with_VPN,5.2,30.1,861.0262351118639,338.6596694688593,0.0,11450.530711098036,0.0,1355.04296875,51.202,51.0,1815.0,98.9,39.0703125,4,13.660374641418457,2.5,107.44140625,30,5250.4026918411255,2.5,59.79296875,33,5284.118960618973,2.5,30.3515625,13,5281.767731666565,1.3,12.30859375,15,5284.084799528122
